,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,sports,youth,max_val,max_cat,frequency,log_frequency,count
21,Secondary Plans,0.1285286694765091,0.0121420789510011,0.0028106167446821,0.0037365036550909,0.060060515999794,0.0416877977550029,0.0094494456425309,0.1263843327760696,0.0003122640773653,0.1029656305909156,0.0424618870019912,0.2012044340372085,0.0953301191329956,0.0543297491967678,0.0084817539900541,0.0270420182496309,0.0360978692770004,0.1544319987297058,0.0055263931863009,0.2469736486673355,0.0146652553230524,0.1544815003871917,0.2469736486673355,business,1,0.0,1
22,Toronto Transit Commission,9.45801948546432e-05,0.0010900056222453,0.0006535351276397,0.0015382530400529,0.0001254409144166,0.0009244003449566,0.2388580441474914,0.9971413016319276,0.0505414418876171,0.0009338841773569,0.0018084933981299,0.8985781669616699,0.4160556197166443,0.0001752741227392,8.37611296446994e-05,0.0031581758521497,0.0134672373533248,8.530840568710119e-05,0.2840133309364319,0.4366456568241119,0.0001721584121696,0.1501727253198623,0.9971413016319276,transit,1,0.0,1
23,abccs,0.2057687640190124,0.1575652360916137,0.0139324953779578,0.0173387378454208,0.0581957772374153,0.4534066617488861,0.0773383453488349,0.2582540512084961,0.0870584473013877,0.4359050989151001,0.1396012306213379,0.3819098472595215,0.3731683194637298,0.0883209779858589,0.3584016859531402,0.0143854292109608,0.3550709784030914,0.1671207398176193,0.0407421141862869,0.8500691056251526,0.0628713816404342,0.3223852813243866,0.8500691056251526,business,1,0.0,1
24,abcds,0.2806300520896911,0.0298875868320465,0.0290216077119112,0.050092339515686,0.0979024693369865,0.2396687269210815,0.119382157921791,0.3166540861129761,0.0258319191634655,0.1825428158044815,0.1336730420589447,0.3227903842926025,0.3760623335838318,0.1854871064424514,0.3029351234436035,0.014968710951507,0.3459653556346893,0.1717988550662994,0.1160307005047798,0.5856513977050781,0.0696977451443672,0.2949325144290924,0.5856513977050781,business,1,0.0,1
25,aboriginal community,0.1922546178102493,0.0048754038289189,0.0002786457480397,0.0011140897404402,0.0331977643072605,0.064310684800148,0.0020501897670328,0.0609019100666046,0.0057849027216434,0.0136403422802686,0.0028026143554598,0.0137035967782139,0.0800810828804969,0.0134568000212311,0.0073464815504848,0.0002884472196456,0.0782923102378845,0.0042483159340918,0.3258353769779205,0.0001795095449779,0.0028872138354927,0.1191563308238983,0.3258353769779205,equity,1,0.0,1
26,aboriginal peoples,0.1096899956464767,0.0005072313360869,0.0035398111212998,0.0004824585630558,0.0141798146069049,0.0900045037269592,0.0012526988284662,0.3262035548686981,0.0072621866129338,0.0348364152014255,0.003149630036205,0.0043052597902715,0.0550943836569786,0.0118619576096534,0.0044227126054465,0.0001503630774095,0.0332624688744545,0.0010817763395607,0.1275647431612014,0.0001486026303609,0.0017259351443499,0.1137574166059494,0.3262035548686981,transit,1,0.0,1
27,aboriginal services,0.0259961113333702,0.0055770273320376,0.0012797522358596,0.0031704048160463,0.0213868804275989,0.0085224285721778,0.0379681549966335,0.3028105497360229,0.0006898061838001,0.0070428196340799,0.0066191116347908,0.1673809289932251,0.1928211897611618,0.0471667684614658,0.089307464659214,0.003450155025348,0.1295194774866104,0.24872587621212,0.0431699603796005,0.2732195556163788,0.0007219710969366,0.4170850217342376,0.4170850217342376,youth,1,0.0,1
28,aboriginals,0.2147596925497055,0.0144806718453764,0.4559210538864136,0.0330308079719543,0.0225258450955152,0.2676917314529419,0.0166815556585788,0.2809782028198242,0.1515664160251617,0.1133919134736061,0.0215219352394342,0.3708305358886719,0.0310801099985837,0.079448863863945,0.0181774795055389,0.0013913294533267,0.976281762123108,0.0104501107707619,0.0131129268556833,0.3449384570121765,0.0067628882825374,0.1705430895090103,0.976281762123108,cost of living,1,0.0,1
29,abuse,0.276220828294754,0.0649769827723503,0.0073915249668061,0.0505096577107906,0.072375401854515,0.0042194123379886,0.018558157607913,0.1684176623821258,0.0216752681881189,0.0900873020291328,0.139697790145874,0.0758832842111587,0.000226755728363,0.001063298783265,0.0456697344779968,7.651182386325672e-05,0.0352558642625808,0.0257633868604898,0.0002603799221105,0.0011164096649736,0.026254704222083,0.253478854894638,0.276220828294754,housing,1,0.0,1
30,access requests,0.3378419280052185,0.0346281342208385,0.013291317038238,0.0072681382298469,0.1168796047568321,0.1090895310044288,0.4127772450447082,0.2715201377868652,0.0009695279295556,0.2049975246191024,0.1659827977418899,0.3084830045700073,0.0237985160201787,0.2915100455284118,0.0553051531314849,0.0802904069423675,0.1105655059218406,0.3214466273784637,0.1656647622585296,0.3609859049320221,0.0419788137078285,0.2748818695545196,0.4127772450447082,traffic,1,0.0,1
